slug,query,our_position_DDG,top5_competitors
los-angeles-county,appliance repair los angeles county,"absent (homepage at #5 instead — cannibalization)","Yelp; losangelesappliancerepair.co; laappliancerepair.net; chiefappliance.com; samedayappliance.repair(HOMEPAGE)"
orange-county,appliance repair orange county,absent,"myappliancecrew.com; Yelp; caesarsapplianceservice.com; Angi; dnvappliance.com"
ventura-county,appliance repair ventura county,absent,"Yelp; vappliancerepair.com; Sears; Angi; Stringer(Yelp)"
san-bernardino-county,appliance repair san bernardino county,absent,"Yelp; sanbernardinoappliance.com; sb-appliance-repair.com; Thumbtack; ars.repair"
riverside-county,appliance repair riverside county,absent,"ars.repair; canyon-crest-appliance-repair.com; Sears; riverside-appliancerepair.com; appliancesrepairriverside.com"
