slug,queries,impressions,clicks,avg_position
los-angeles-county,23,52,0,60.5
orange-county,14,43,0,55.7
ventura-county,20,135,0,69.0
san-bernardino-county,19,55,0,41.8
riverside-county,61,213,0,64.5
