slug,http,size_kb,ttfb_s,notes
los-angeles-county,200,148,0.306,OK
orange-county,200,140,0.237,OK
ventura-county,200,138,0.232,OK
san-bernardino-county,200,139,0.274,OK
riverside-county,200,138,0.267,OK
