query,pre_imp,pre_pos,post_imp,post_pos
appliance repair near me,295,6.4,409,6.57
same day appliance repair,238,14.6,331,23.27
appliance repair,170,18.8,100,16.78
appliance repair thousand oaks ca,130,7.9,103,7.1
appliance repair glendale,104,44.5,13,50.8
appliance repair burbank,97,43.6,54,56.9
commercial dish machine repair,97,38.7,5,69.0
appliance repair santa monica ca,79,8.8,64,10.15
appliance repair service,77,4.8,76,1.53
appliance repair downtown los angeles,74,21.7,100,37.49
