scope,event_name,event_count,users
site-wide,click_phone_number,13,9
site-wide,book_now,3,2
site-wide,click,5,2
/,click_phone_number,4,1
/west-hollywood/,click_phone_number,0,0
/los-angeles/,click_phone_number,0,0
/thousand-oaks/,click_phone_number,0,0
/pasadena/,click_phone_number,0,0
/irvine/,click_phone_number,0,0
note,"9 click_phone_number events on other (non-listed) pages during 14d. 5 city pillars in audit had 0 phone clicks despite 80 sessions combined.",,
